offender_id,offender_name,breach_date
KQT6976RLP,Sian Connor,2023-04-15
SYZ9698SND,Mr Thomas Taylor,2023-03-10
COG0444UMC,Dr Debra Jackson,2023-01-28
IOU8015ZFN,Kenneth Baker-Jones,2023-01-10
BVU5951UNP,Mrs Grace Williams,2023-04-08
KZC3557DKS,Christian Scott,2023-05-18
RDJ6440KQH,Stuart Holt,2023-05-24
FPU5354QWI,Lisa Brown,2023-03-27
EFC6347VXN,Cheryl Smith-Cox,2023-03-29
NIA3431GZL,Ms Sara Marshall,2023-01-14
OBO6726TVQ,Charlie Watts,2023-02-10
VNF7423DVO,Pamela Fraser,2023-02-04
DGJ5852END,Dr Connor Coles,2023-03-28
MIV5736AAL,Marcus Dobson,2023-05-24
KWI3467LYW,Mr Danny Miller,2023-03-27
UBE1302VMX,Miss Carole Brown,2023-03-04
UEB7306WQK,Miss Susan Doyle,2023-02-11
FLG8098YUS,Cameron Fry-Jackson,2023-01-01
BWX0455ALL,Gregory Smith,2023-04-22
FTX7764EIV,Francesca Fisher-Clements,2023-01-23
YUE1169UQA,Annette Bell,2023-04-07
PCU5432ZCV,Michelle Thompson-Brown,2023-01-18
PAK0315NXQ,Stephen Hill,2023-01-02
ZCN5176BHK,Mr Leon Jordan,2023-03-22
QIK8993AHP,Olivia Parker,2023-04-25
WFL3503MIF,Dr Brenda Edwards,2023-01-27
TMO3176GCK,Kate Parsons,2023-01-12
MJQ9749RYQ,Sally Williams,2023-01-24
NTT0083CIF,Mandy Patel,2023-02-06
FAQ8818HAB,Martin Daly,2023-02-02
TXL7025VHN,Abigail Williams,2023-01-06
IEG0941LDS,Mandy Gregory,2023-03-16
SMN6848UPN,Nicholas White,2023-04-21
VHZ0579FGU,Jordan Marsh,2023-05-27
AEZ5972CIA,Sophie Morris-Smith,2023-05-03
XKW7286FWL,Catherine Robinson,2023-03-09
INU1908XBG,Amanda Holmes,2023-05-01
VTN4403FXW,Rebecca Harris,2023-01-10
LOR2172IFP,Mr Christian Murray,2023-03-20
VKN5565WAE,Mrs Maria Hodgson,2023-03-29
NPE9417PDZ,Naomi Carter,2023-05-14
KPH6661KXZ,Stanley Hayes-Begum,2023-05-04
XIY6289ZYD,June Smith,2023-02-22
ETR6789RNB,Mr Conor Porter,2023-05-15
WCZ0277FPK,Ms Jayne Bowen,2023-05-25
NZD2918ECJ,Gerald Thomas-Marsh,2023-03-22
ZST1242WWA,Donna Chadwick,2023-01-04
BWM2369XWC,Ms Claire Wilkins,2023-04-12
IRK5555WYR,Valerie Moore,2023-05-12
CRR4805AFQ,Kenneth Townsend-Edwards,2023-04-22
YNW3381UPP,Carl Jenkins,2023-05-18
XXH2928TND,Angela Hilton,2023-05-05
JVK3604KRO,Eileen Hussain,2023-05-14
JBM5599AZH,Lynne Jackson,2023-04-18
DSD6986IGV,Marion Gallagher,2023-04-06
KDZ9825EYM,Katherine Carpenter,2023-05-11
PBW4929DBF,Mr Louis Brown,2023-01-09
OUK8357RTB,Mrs Abigail Robinson,2023-02-16
WIW9789VAD,Katherine Taylor-Wood,2023-01-22
RFK4096NCG,Nicholas Goddard,2023-05-05
VZH0396KAW,Bernard Marsh,2023-03-09
XKN7111UIR,Dr Brandon Holmes,2023-02-13
QJP8390JFV,Dr Joanna Bennett,2023-03-27
IXS6890FHL,Maurice Evans,2023-03-28
JNI2907WJT,Jacob Atkinson,2023-05-22
TRT9391SNA,Mr Sean Hudson,2023-04-11
CYN4284AOU,Francesca Jones,2023-01-19
SRN7814KGE,Danielle Brown,2023-04-27
DYM1767LVQ,Ms Margaret Day,2023-04-10
NNU1185IPA,Duncan Jones,2023-05-27
WTQ5834KDL,Harry Hudson-Jones,2023-03-28
SXD0981BYF,Dr Sam Dawson,2023-01-05
LQX5670YHU,Hazel Winter,2023-02-18
IAY0129BID,Teresa Gordon,2023-05-31
ZBG3193ISE,Dr Shane Wilson,2023-01-23
RJG1270CIG,Mr Reece Bailey,2023-04-04
RWL9380TJP,Rachael Taylor,2023-01-04
DTG3151TSJ,Ms Laura Payne,2023-04-01
SZA5071QUC,Amber Wright,2023-02-28
