offender_id,tag_install_date,tag_type,dob,sex,ethnic_group,original_offence
YEG6518QIV,2022-11-19,alcohol,1994-06-19,male,asian,Summary non-motoring
JME7219QND,2022-09-02,location,1986-09-19,female,white,Violence against the person
WSO1347WIQ,2022-10-10,curfew,1988-10-05,male,other,Drug offence
TUP1206QEM,2022-12-14,location,1953-12-28,male,other,Theft offence
AVL7422VBW,2022-08-11,alcohol,1982-04-20,female,mixed,Theft offence
MIQ9523DTM,2022-10-04,location,1960-05-04,male,other,Drug offence
JPA8498FLW,2022-12-25,curfew,2005-12-15,female,asian,Drug offence
WHQ3935SFC,2022-11-19,location,1995-08-15,male,unknown,Theft offence
SWC3472MSR,2022-11-07,location,1997-08-31,female,mixed,Summary non-motoring
WNF8789OTF,2022-12-20,curfew,1976-09-25,female,mixed,Criminal Damage
KAH3011HKH,2022-09-16,location,1984-09-24,female,asian,Drug offence
OEV7660QTN,2022-11-22,alcohol,1986-04-01,male,black,Fraud
FIV9014TQM,2022-09-03,alcohol,2022-06-14,female,black,Drug offence
UHU0235KSV,2022-10-09,curfew,1965-03-08,female,black,Theft offence
IAI3112GUZ,2022-08-12,alcohol,1904-10-04,female,black,Summary motoring
SQD0942LVT,2022-09-07,alcohol,1986-04-09,female,unknown,Violence against the person
GDC0513FVY,2022-12-19,curfew,1952-12-23,male,asian,Summary non-motoring
ZAH2465DQM,2022-11-19,location,2001-10-23,female,unknown,Theft offence
JWG9245WYX,2022-11-13,curfew,1968-05-02,male,unknown,Theft offence
LSU3014DBX,2022-08-16,curfew,1955-04-23,female,other,Fraud
WAU6741SCP,2022-09-27,curfew,1968-02-08,female,white,Theft offence
YER0446TXX,2022-10-24,curfew,1987-01-31,male,white,Fraud
JOE8760EMF,2022-08-15,location,2019-03-22,female,unknown,Violence against the person
QCK1784ESB,2022-08-14,location,1977-09-02,male,other,Fraud
RSE2276NIF,2022-12-15,location,1974-07-04,female,other,Violence against the person
SDO7050TCY,2022-09-06,curfew,2009-08-03,male,white,Criminal Damage
IJD7265LCT,2022-09-25,curfew,1932-11-02,female,mixed,Drug offence
QED2914YYC,2022-08-29,alcohol,1989-02-13,male,asian,Summary non-motoring
ADI0016QAF,2022-08-31,curfew,1955-06-11,female,black,Other Indictable
UWK9337FHQ,2022-08-19,location,1976-09-20,male,white,Other Indictable
BUO4609YWF,2022-08-08,alcohol,1960-11-12,male,mixed,Summary motoring
JVA3305GGF,2022-12-23,location,2006-05-03,male,asian,Violence against the person
WDQ7777DMC,2022-11-26,curfew,1987-12-20,female,asian,Drug offence
HIZ3245KQM,2022-12-04,alcohol,2009-01-20,female,mixed,Summary motoring
NCC6885CSQ,2022-12-10,curfew,2000-03-13,male,other,Violence against the person
VJQ7617OYV,2022-08-14,location,1969-09-27,female,black,Drug offence
VXB2277OUI,2022-08-01,curfew,1959-01-29,male,black,Fraud
MGG0544OGG,2022-10-10,curfew,2022-09-13,female,other,Drug offence
GHS5213AHY,2022-10-25,alcohol,1943-04-04,female,white,Other Indictable
HDJ9414BGH,2022-10-18,alcohol,2020-05-28,female,asian,Drug offence
IVX6723TPT,2022-12-02,alcohol,1959-01-24,male,unknown,Criminal Damage
GNT8713YFP,2022-12-10,alcohol,1992-02-10,female,other,Criminal Damage
JKJ6786KKX,2022-10-18,location,2022-07-12,female,white,Theft offence
